,0
0,-8.090241432189941
1,4.1173176765441895
2,2.0313777923583984
3,-6.597580909729004
4,0.5384382009506226
5,-0.09033425152301788
6,-7.578078746795654
7,4.9288330078125
8,3.387040853500366
9,-6.1743483543396
10,3.013176918029785
11,3.782057762145996
12,-5.897967338562012
13,5.550252914428711
14,3.1084229946136475
15,-3.1404097080230713
16,1.896335244178772
17,1.764657974243164
18,-6.998493194580078
19,6.025930404663086
20,5.309659481048584
21,-5.689704418182373
22,3.387166976928711
23,4.787944316864014
24,-7.716782093048096
25,5.544475078582764
26,5.062470436096191
27,-6.318726062774658
28,3.46267032623291
29,3.412661075592041
30,-0.16335786879062653
31,5.1655473709106445
32,3.7043232917785645
33,-1.9180458784103394
34,4.310560703277588
35,3.801377296447754
36,2.550603151321411
37,0.38545897603034973
38,4.307433128356934
39,1.6725741624832153
40,6.946931838989258
41,8.81389045715332
42,-8.606099128723145
43,2.765420436859131
44,0.6561233997344971
45,-7.885645389556885
46,0.06180308014154434
47,1.6581581830978394
48,2.5397512912750244
49,1.786842942237854
50,2.6825778484344482
51,0.6196982860565186
52,4.699666500091553
53,4.835268020629883
54,-2.816204786300659
55,1.6948411464691162
56,1.048545241355896
57,-1.0694594383239746
58,1.1739063262939453
59,1.4362322092056274
60,5.347465515136719
61,-0.2533636689186096
62,-3.91341233253479
63,-1.3456474542617798
64,-4.019580841064453
65,-2.744715690612793
66,6.642033576965332
67,0.1288762092590332
68,-2.819790840148926
69,-4.412267208099365
70,-2.2643256187438965
71,-3.2883286476135254
